id,text,department,sentiment
67,"buffet abbondante, ma migliorabile direi",F&B,pos
68,direi che camera sporca tutto sommato,Housekeeping,neg
69,STAFF GENTILE DIREI,Reception,pos
70,camera sporca durante il soggiorno nel complesso,Housekeeping,neg
71,nel complesso ambiente curato nel complesso,Housekeeping,pos
72,direi che personale disponibile direi,Reception,pos
73,direi che ambiente curato nel complesso,Housekeeping,pos
74,staff gentile durante il soggiorno nel complesso,Reception,pos
75,direi che camera molto pulita nel complesso,Housekeeping,pos
76,qualità bassa tutto sommato,F&B,neg
77,"servizio veloce, ma migliorabile direi",Reception,pos
78,Direi che piatti gustosi nel complesso,F&B,pos
79,"PULIZIA ECCELLENTE, MA MIGLIORABILE NEL COMPLESSO",Housekeeping,pos
80,"camera molto pulita, ma migliorabile nel complesso",Housekeeping,pos
81,"STANZA TRASCURATA, MA MIGLIORABILE",Housekeeping,neg
82,nel complesso pulizia eccellente,Housekeeping,pos
83,nel complesso colazione scarsa,F&B,neg
84,"personle SCORTESE, MA MIGLIORABILE DIREI",Reception,neg
85,"ambiente curato, ma migliorabile nel complesso",Housekeeping,pos
86,staff gentile durante il soggiorno tutto sommato,Reception,pos
87,personale scortese durante il soggiorno,Reception,neg
88,nel complesso buffet abbondante direi,F&B,pos
89,"Staff gentile, ma migliorabile nel complesso",Reception,pos
90,buffet abbondante direi,F&B,pos
91,nel complesso staff gentile direi,Reception,pos
92,"attesa lunga, ma migliorabile",Reception,neg
93,DIREI CHE CAMERA MOLTO PULITA,Housekeeping,pos
94,Stanza trascurata durante il soggiorno direi,Housekeeping,neg
95,"camera molto pulita, ma migliorabile",Housekeeping,pos
96,nel complesso stanza in ordine direi,Housekeeping,pos
97,direi che cibo di qualità nel complesso,F&B,pos
98,direi che accoglienza fredda tutto sommato,Reception,neg
99,"accoglienza cordiale, ma migliorabile direi",Reception,pos
100,servizio lento tutto sommato,Reception,neg
101,direi che poca scelta tutto sommato,F&B,neg
102,Ambiente curato durante il soggiorno nel complesso,Housekeeping,pos
103,"servizio lento, ma migliorabile direi",Reception,neg
104,direi che servizio veloce direi,Reception,pos
105,piatti gustosi,F&B,pos
106,"camera molto pulita, ma migliorabile tutto sommato",Housekeeping,pos
107,direi che piatti gustosi,F&B,pos
108,cibo freddo tutto sommato,F&B,neg
109,nel complesso servizio veloce direi,Reception,pos
110,camera molto pulita durante il soggiorno tutto sommato,Housekeeping,pos
111,personale disponibile,Reception,pos
112,colazionee buona direi,F&B,pos
113,qualità bassa durante il soggiorno tutto sommato,F&B,neg
114,nel complesso buffet abbondante tutto sommato,F&B,pos
115,piatti gustosi durante il soggiorno tutto sommato,F&B,pos
116,direi che servizio veloce tutto sommato,Reception,pos
117,"servizio veloce, ma migliorabile nel complesso",Reception,pos
118,personale scortese durante il soggiorno tutto sommato,Reception,neg
119,"colazione scarsa, ma migliorabile",F&B,neg
120,direi che attesa lunga tutto sommato,Reception,neg
121,cibo di qualità durante il soggiorno direi,F&B,pos
122,nel complesso camera molto pulita,Housekeeping,pos
123,"cibo freddo, ma migliorabile direi",F&B,neg
124,"personale disponibile, ma migliorabile direi",Reception,pos
125,nel complesso accoglienza cordiale,Reception,pos
126,piatti gustosi direi,F&B,pos
127,nel complesso personale scortese direi,Reception,neg
128,ambiente poco pulito durante il soggiorno tutto sommato,Housekeeping,neg
129,nel complesso cibo di qualità tutto sommato,F&B,pos
130,nel complesso pulizia scarsa tutto sommato,Housekeeping,neg
131,personale disponibile tutto sommato,Reception,pos
132,direi che personale disponibile nel complesso,Reception,pos
133,"poca scelta, ma migliorabile nel complesso",F&B,neg
134,camera molto pulita durante il soggiorno nel complesso,Housekeeping,pos
135,nel complesso servizio veloce tutto sommato,Reception,pos
136,Accoglienza cordiale,Reception,pos
137,NEL COMPLESSO BUFFET ABBONDANTE NEL COMPLESSO,F&B,pos
138,servizio veloce durante il soggiorno tutto sommato,Reception,pos
139,AMBIENTE CURATO DIREI,Housekeeping,pos
140,"pulizia eccellente, ma migliorabile direi",Housekeeping,pos
141,"buffet abbondante, ma migliorabile",F&B,pos
142,direi che qualità bassa direi,F&B,neg
143,poca scelta durante il soggiorno nel complesso,F&B,neg
144,direi che accoglienza cordiale direi,Reception,pos
145,NEL COMPLESSO QUALITÀ BASSA,F&B,neg
146,piatti gustosi durante il soggiorno nel complesso,F&B,pos
147,Stanza in ordine tutto sommato,Housekeeping,pos
148,"camera sporca, ma migliorabile",Housekeeping,neg
149,Cibo di qualità,F&B,pos
150,colazione buona durante il soggiorno,F&B,pos
151,piatti gustosi tutto sommato,F&B,pos
152,direi che camera molto pulita direi,Housekeeping,pos
153,servizio veloce durante il soggiorno nel complesso,Reception,pos
154,accoglienza cordiale durante il soggiorno tutto sommato,Reception,pos
155,buffet abbondante durante il soggiorno nel complesso,F&B,pos
156,direi che cibo di qualità tutto sommato,F&B,pos
157,Direi che pulizia eccellente tutto sommato,Housekeeping,pos
158,stanza in ordine durante il soggiorno nel complesso,Housekeeping,pos
159,nel complesso piatti gustosi tutto sommato,F&B,pos
160,direi che piatti gustosi direi,F&B,pos
161,"Ambiente curato, ma migliorabile direi",Housekeeping,pos
162,direi che pulizia scarsa direi,Housekeeping,neg
163,personale scortese nel complesso,Reception,neg
164,personale disponibile durante il soggiorno nel complesso,Reception,pos
165,Pulizia scarsa direi,Housekeeping,neg
166,"attesa lunga, ma migliorabile tutto sommato",Reception,neg
167,nel complesso piatti gustosi direi,F&B,pos
168,NEL COMPLESSO COLAZIONE BUONA TUTTO SOMMATO,F&B,pos
169,"personale scortese, ma migliorabile nel complesso",Reception,neg
170,servizio veloce durante il soggiorno direi,Reception,pos
171,camera molto pulita durante il soggiorno,Housekeeping,pos
172,ambiente curato,Housekeeping,pos
173,"ambiente poco pulito, ma migliorabile direi",Housekeeping,neg
174,"colazione scarsa, ma migliorabile tutto sommato",F&B,neg
175,servizio veloce direi,Reception,pos
176,direi che accoglienza cordiale nel complesso,Reception,pos
177,nel complesso cibo freddo nel complesso,F&B,neg
178,pulizia eccellente durante il soggiorno,Housekeeping,pos
179,Direi che cibo di qualità direi,F&B,pos
180,nel complesso accoglienza cordiale tutto sommato,Reception,pos
181,"AMBIENTE CURATO, MA MIGLIORABILE TUTTO SOMMATO",Housekeeping,pos
182,"staff gentile, ma migliorabile tutto sommato",Reception,pos
183,QUALITÀ BASSA,F&B,neg
184,"COLAZIONE SCARSA, MA MIGLIORABILE DIREI",F&B,neg
185,camra SPORCA DURANTE IL SOGGIORNO,Housekeeping,neg
186,nel complesso ambiente poco pulito,Housekeeping,neg
187,nel complesso personle disponibile tutto sommato,Reception,pos
188,Direi che staff gentile,Reception,pos
189,nel complesso camera sporca,Housekeeping,neg
190,accoglienza fredda,Reception,neg
191,personale disponibile durante il soggiorno tutto sommato,Reception,pos
192,direi che ambiente curato tutto sommato,Housekeeping,pos
193,accoglienza fredda tutto sommato,Reception,neg
194,pulizia eccellente durante il soggiorno direi,Housekeeping,pos
195,"piatti gustosi, ma migliorabile nel complesso",F&B,pos
196,"pulizia scarsa, ma migliorabile nel complesso",Housekeeping,neg
197,staff gentile,Reception,pos
198,"cibo di qualità, ma migliorabile tutto sommato",F&B,pos
199,"personale disponibile, ma migliorabile tutto sommato",Reception,pos
