id,text,department,sentiment
36,"B&B con disagi e costi extra.",Reception,neg
37,"B&B con gestione assente e servizi limitati.",Reception,neg
38,"Ottima colazione, pulito e ordinato.",F&B,pos
39,"Camera grande ma bagno piccolo e rumoroso.",Housekeeping,neg
40,"Ottima posizione e accoglienza.",Reception,pos
41,"Struttura pulita e ben organizzata.",Housekeeping,pos
42,"Camere pulite e posizione eccellente.",Housekeeping,pos
43,"Personale gentile e cortese.",Reception,pos
44,"Camera accogliente e ottima colazione.",F&B,pos
45,"Camera pulita ma poco adatta a famiglie.",Housekeeping,neg
46,"Struttura bellissima e personale fantastico.",Reception,pos
47,"Struttura ben rinnovata, pulita e ordinata.",Housekeeping,pos
48,"Camere pulite e personale cortese.",Housekeeping,pos
49,"Ottima posizione e personale gentile.",Reception,pos
