id,text,department,sentiment
88,LA STANZA È camra PULITISSIMA,Housekeeping,pos
89,LA STANZA È NON ERA PULITA BENE,Housekeeping,neg
90,nel complesso cameraa pulitissima,Housekeeping,pos
91,camera pulitissima durante il soggiorno,Housekeeping,pos
92,Cibo ok durante il soggiorno,F&B,pos
93,La stanza è attesa lunga,Reception,neg
94,nel complesso camera sporca,Housekeeping,neg
95,Nel complesso camera davvero in ordine,Housekeeping,pos
96,la stanza è colazione scarsa,F&B,neg
97,Nel complesso non era pulita bene,Housekeeping,neg
98,RECEPTION VELOCE DIREI,Reception,pos
99,non era pulita bene durante il soggiorno,Housekeeping,neg
100,La stanza è cameraa pulitissima,Housekeeping,pos
101,durante il soggiorno servizio non buono,Reception,neg
102,colazzione buona durante il soggiorno,F&B,pos
103,LA STANZA È RECEPTION LENTA,Reception,neg
104,PULIZIA SCARSA DIREI,Housekeeping,neg
105,La stanza è camra sporca,Housekeeping,neg
106,persoale scortese direi,Reception,neg
107,poco assortimento durante il soggiorno,F&B,neg
108,DURANTE IL SOGGIORNO colazzione SCARSA,F&B,neg
109,Durante il soggiorno camera davvero in ordine,Housekeeping,pos
110,Durante il soggiorno persoale molto disponibile,Reception,pos
111,nel complesso tutto abbastanza buono,F&B,pos
112,servizzio non buono durante il soggiorno,Reception,neg
113,Durante il soggiorno cameraa pulitissima,Housekeeping,pos
114,PERSONALE SCORTESE DIREI,Reception,neg
115,la stanza è camera lasciata male,Housekeeping,neg
116,personalle molto disponibile direi,Reception,pos
117,CIBO FREDDO DURANTE IL SOGGIORNO,F&B,neg
118,durante il soggiorno personalle molto disponibile,Reception,pos
119,DURANTE IL SOGGIORNO cmera PULITISSIMA,Housekeeping,pos
120,la stanza è camera pulitissima,Housekeeping,pos
121,NEL COMPLESSO COLAZIONE BUONA,F&B,pos
122,DURANTE IL SOGGIORNO colazionee SCARSA,F&B,neg
123,Durante il soggiorno qualità bassa,F&B,neg
124,Nel complesso personalle molto disponibile,Reception,pos
125,la stanza è cameraa davvero in ordine,Housekeeping,pos
126,LA STANZA È PERSONALE MOLTO DISPONIBILE,Reception,pos
127,PULIZIA SCARSA DURANTE IL SOGGIORNO,Housekeeping,neg
128,la stanza è personale scortese,Reception,neg
129,Durante il soggiorno cibo freddo,F&B,neg
130,LA STANZA È PULIZIA SCARSA,Housekeeping,neg
131,DURANTE IL SOGGIORNO colazzione BUONA,F&B,pos
132,Durante il soggiorno colazione buona,F&B,pos
133,nel complesso colazzione buona,F&B,pos
134,ATTESA LUNGA DIREI,Reception,neg
135,cmera lasciata male direi,Housekeeping,neg
136,La stanza è personalle molto disponibile,Reception,pos
137,QUALITÀ BASSA DIREI,F&B,neg
138,DURANTE IL SOGGIORNO STAFF GENTILE,Reception,pos
139,camra davvero in ordine direi,Housekeeping,pos
140,cmera sporca direi,Housekeeping,neg
141,persoale molto disponibile durante il soggiorno,Reception,pos
142,la stanza è poco assortimento,F&B,neg
143,colazionee buona direi,F&B,pos
144,DURANTE IL SOGGIORNO camra PULITISSIMA,Housekeeping,pos
145,la stanza è personalle scortese,Reception,neg
146,La stanza è colazionee buona,F&B,pos
147,nel complesso colazione scarsa,F&B,neg
148,ATTESA LUNGA DURANTE IL SOGGIORNO,Reception,neg
149,DURANTE IL SOGGIORNO cmera DAVVERO IN ORDINE,Housekeeping,pos
150,La stanza è camera sporca,Housekeeping,neg
151,NON ERA pulitaa BENE DIREI,Housekeeping,neg
152,servizioo non buono direi,Reception,neg
153,LA STANZA È cmera DAVVERO IN ORDINE,Housekeeping,pos
154,cmera davvero in ordine direi,Housekeeping,pos
155,cameraa PULITISSIMA DURANTE IL SOGGIORNO,Housekeeping,pos
156,DURANTE IL SOGGIORNO CAMERA SPORCA,Housekeeping,neg
157,La stanza è colazionee scarsa,F&B,neg
158,persoale scortese durante il soggiorno,Reception,neg
159,persoale MOLTO DISPONIBILE DIREI,Reception,pos
160,Nel complesso camra davvero in ordine,Housekeeping,pos
161,RECEPTION LENTA DIREI,Reception,neg
162,LA STANZA È persoale SCORTESE,Reception,neg
163,Nel complesso cmera pulitissima,Housekeeping,pos
164,non era pulita bene direi,Housekeeping,neg
165,Camera lasciata male durante il soggiorno,Housekeeping,neg
166,La stanza è non era pulitaa bene,Housekeeping,neg
167,cmera pulitissima durante il soggiorno,Housekeeping,pos
168,durante il soggiorno colazione scarsa,F&B,neg
169,camra PULITISSIMA DURANTE IL SOGGIORNO,Housekeeping,pos
170,Durante il soggiorno camra davvero in ordine,Housekeeping,pos
171,nel complesso servizzio non buono,Reception,neg
172,La stanza è persoale molto disponibile,Reception,pos
173,durante il soggiorno cameraa sporca,Housekeeping,neg
174,DURANTE IL SOGGIORNO NON ERA PULITA BENE,Housekeeping,neg
175,Servizio non buono durante il soggiorno,Reception,neg
176,camra sporca durante il soggiorno,Housekeeping,neg
177,LA STANZA È cmera LASCIATA MALE,Housekeeping,neg
178,la stanza è servizzio non buono,Reception,neg
179,personalle SCORTESE DIREI,Reception,neg
180,personalle molto disponibile durante il soggiorno,Reception,pos
181,cameraa lasciata male durante il soggiorno,Housekeeping,neg
182,nel complesso cmera lasciata male,Housekeeping,neg
183,Nel complesso personale scortese,Reception,neg
184,Durante il soggiorno non era pulitta bene,Housekeeping,neg
185,cameraa davvero in ordine direi,Housekeeping,pos
186,DURANTE IL SOGGIORNO servizzio NON BUONO,Reception,neg
187,cameraa pulitissima direi,Housekeeping,pos
188,colazionee buona durante il soggiorno,F&B,pos
189,Nel complesso persoale molto disponibile,Reception,pos
190,colazionee SCARSA DURANTE IL SOGGIORNO,F&B,neg
191,cmera pulitissima direi,Housekeeping,pos
192,LA STANZA È colazzione BUONA,F&B,pos
193,colazionee scarsa direi,F&B,neg
194,la stanza è non era pulitta bene,Housekeeping,neg
195,Nel complesso camra sporca,Housekeeping,neg
196,Non era pulitta bene durante il soggiorno,Housekeeping,neg
197,DURANTE IL SOGGIORNO camra SPORCA,Housekeeping,neg
198,Durante il soggiorno persoale scortese,Reception,neg
199,NEL COMPLESSO colazionee BUONA,F&B,pos
