text,department,sentiment,id
Il servizio di ristorazione è buona,F&B,pos,93
Ottima posizione nel centro storico.,Reception,pos,35
Il personale si è dimostrato inefficiente,Reception,neg,185
Abbiamo trovato la camera ben mantenuta,Housekeeping,pos,33
La camera si presenta non pulita,Housekeeping,neg,77
Durante il soggiorno il cibo è ottima,F&B,pos,0
Durante il soggiorno il personale è stato disorganizzato,Reception,neg,11
Pulizia scarsa direi,Housekeeping,neg,165
La reception risulta scortese,Reception,neg,22
Il servizio di ristorazione è ottima,F&B,pos,72
Il livello di pulizia è ben curata,Housekeeping,pos,182
Il livello di pulizia è impeccabile,Housekeeping,pos,131
direi che piatti gustosi direi,F&B,pos,160
L'offerta gastronomica è buona,F&B,pos,193
La qualità del cibo è apprezzabile,F&B,pos,55
La colazione è poco varia,F&B,neg,148
Il servizio di reception è scortese,Reception,neg,18
L'offerta gastronomica è ben preparata,F&B,pos,204
La colazione è ben preparata,F&B,pos,78
Camera accogliente e ottima colazione.,F&B,pos,44
DIREI CHE BUFFET ABBONDANTE NEL COMPLESSO,F&B,pos,12
direi che ambiente curato nel complesso,Housekeeping,pos,73
Camera ampia ma bagno piccolo e scomodo.,Housekeeping,neg,33
La camera è maleodorante,Housekeeping,neg,79
La reception risulta attento alle richieste,Reception,pos,39
"Si tratta di un bel hotel in centro città. Le camere sono pulite e il servizio eccellente. Colazione ricca a buffet. Non ho dato cinque stelle perché il bagno era freddo, poco riscaldato.",Housekeeping,pos,1
La camera risulta igienizzata correttamente,Housekeeping,pos,46
Abbiamo trovato la camera ben curata,Housekeeping,pos,238
"buffet abbondante, ma migliorabile",F&B,pos,141
Ambiente curato durante il soggiorno nel complesso,Housekeeping,pos,102
nel complesso staff gentile direi,Reception,pos,91
"PERSONALE DISPONIBILE, MA MIGLIORABILE NEL COMPLESSO",Reception,pos,27
"colazione buona, ma migliorabile tutto sommato",F&B,pos,40
"buffet abbondante, ma migliorabile direi",F&B,pos,67
buffet abbondante tutto sommato,F&B,pos,54
servizio veloce,Reception,pos,18
L'offerta gastronomica è non soddisfacente,F&B,neg,69
"Camera essenziale ma confortevole. Buona la colazione. Fantastico il personale: tutti gentilissimi, sempre sorridenti, sempre pronti ad agevolare la permanenza in città.",Reception,pos,5
"Convenzionati con parcheggio a pagamento 24h 10e, altrimenti si trova tranquillamente posto nei dintorni.",Reception,pos,15
Durante il soggiorno la camera è stata ben curata,Housekeeping,pos,154
Il livello di pulizia è fresca e pulita,Housekeeping,pos,82
Camera pulita ma molto rumorosa e costi alti per servizi mediocri.,Housekeeping,neg,27
Abbiamo trovato la camera in ottime condizioni,Housekeeping,pos,172
nel complesso ambiente curato nel complesso,Housekeeping,pos,71
Il servizio di ristorazione è apprezzabile,F&B,pos,90
La reception risulta poco professionale,Reception,neg,180
personale disponibile durante il soggiorno nel complesso,Reception,pos,164
stanza in ordine direi,Housekeeping,pos,62
colazione buona nel complesso,F&B,pos,28
personale disponibile tutto sommato,Reception,pos,131
Hotel un po' retrò nelle immediate vicinanze della stazione ferroviaria di Bari. Stanze spaziose e confortevoli. Molto pulite. Reception cortese. Buona la prima colazione.,Reception,pos,22
colazionee buona direi,F&B,pos,112
staff gentile durante il soggiorno nel complesso,Reception,pos,74
"AMBIENTE CURATO, MA MIGLIORABILE TUTTO SOMMATO",Housekeeping,pos,181
direi che cibo di qualità nel complesso,F&B,pos,97
Durante il soggiorno il cibo è non soddisfacente,F&B,neg,86
Durante il soggiorno la camera è stata ben mantenuta,Housekeeping,pos,75
Direi che staff gentile,Reception,pos,188
La camera è sporca,Housekeeping,neg,15
Il personale si è dimostrato poco professionale,Reception,neg,249
QUALITÀ BASSA,F&B,neg,183
Il servizio di reception è efficiente,Reception,pos,19
direi che personale disponibile direi,Reception,pos,72
nel complesso pulizia eccellente,Housekeeping,pos,82
La camera risulta piena di polvere,Housekeeping,neg,56
accoglienza fredda durante il soggiorno direi,Reception,neg,51
L'accoglienza è stata lento,Reception,neg,229
"STANZA TRASCURATA, MA MIGLIORABILE",Housekeeping,neg,81
Durante il soggiorno la camera è stata sporca,Housekeeping,neg,132
Il personale è molto disponibile,Reception,pos,137
"ambiente poco pulito, ma migliorabile direi",Housekeeping,neg,173
"ambiente curato, ma migliorabile nel complesso",Housekeeping,pos,85
La colazione è soddisfacente,F&B,pos,25
"Stanze grandi anche se di stile vecchio, ma non mi importa data la posizione centrale, comoda e vicino alla stazione ed al teatro Petruzzelli. Soggiorno piacevole. Pulito. Colazione abbondante.",Housekeeping,pos,14
cibo di qualità durante il soggiorno nel complesso,F&B,pos,31
L'offerta gastronomica è poco varia,F&B,neg,247
La camera si presenta maleodorante,Housekeeping,neg,237
Durante il soggiorno il personale è stato attento alle richieste,Reception,pos,117
La camera si presenta piena di polvere,Housekeeping,neg,42
Abbiamo trovato la camera maleodorante,Housekeeping,neg,220
Il servizio di reception è poco disponibile,Reception,neg,176
camera sporca durante il soggiorno nel complesso,Housekeeping,neg,70
L'offerta gastronomica è scarsa,F&B,neg,153
Il personale si è dimostrato professionale,Reception,pos,231
La camera si presenta impeccabile,Housekeeping,pos,227
nel complesso piatti gustosi direi,F&B,pos,167
Durante il soggiorno la camera è stata piena di polvere,Housekeeping,neg,203
Il buffet è di qualità,F&B,pos,126
"PULIZIA ECCELLENTE, MA MIGLIORABILE NEL COMPLESSO",Housekeeping,pos,79
Durante il soggiorno il personale è stato ben organizzato,Reception,pos,31
L'offerta gastronomica è deludente,F&B,neg,113
Hotel abbastanza semplice e privo di fascino. Le camere sono arredate in modo semplice ma molto pulite. Vicino alla stazione ferroviaria ea pochi passi dal centro storico.,Housekeeping,pos,20
pulizia eccellente tutto sommato,Housekeeping,pos,21
Il personale è poco disponibile,Reception,neg,140
Durante il soggiorno la camera è stata con scarsa igiene,Housekeeping,neg,57
Il livello di pulizia è poco curata,Housekeeping,neg,192
L'offerta gastronomica è ottima,F&B,pos,24
Il servizio di ristorazione è poco varia,F&B,neg,17
Ambiente curato nel complesso,Housekeeping,pos,15
Durante il soggiorno la camera è stata perfettamente ordinata,Housekeeping,pos,66
La qualità del cibo è non soddisfacente,F&B,neg,208
Personale gentilissimo e disponibile.,Reception,pos,29
Il servizio di ristorazione è non soddisfacente,F&B,neg,94
direi che stanza trascurata direi,Housekeeping,neg,3
DIREI CHE PULIZIA SCARSA NEL COMPLESSO,Housekeeping,neg,16
Durante il soggiorno il personale è stato lento,Reception,neg,23
Il personale è professionale,Reception,pos,222
"stanza trascurata, ma migliorabile nel complesso",Housekeeping,neg,11
direi che accoglienza cordiale nel complesso,Reception,pos,176
Il servizio di ristorazione è di qualità,F&B,pos,5
Abbiamo trovato la camera piena di polvere,Housekeeping,neg,116
La qualità del cibo è fredda,F&B,neg,45
La camera si presenta fresca e pulita,Housekeeping,pos,16
"Siamo stati accolti alla reception con freddezza, in uscita ed entrata Scarseggiano i saluti mancano I sorrisi , prezzi consigliati da booking sono inferiori , parola d'ordine addebito carta di credito ,camera confortevole ,sodfisfacente la colazione . Spero si ravvedano x la soddisfazione dei clienti.",Reception,neg,12
direi che piatti gustosi,F&B,pos,107
Durante il soggiorno il cibo è di bassa qualità,F&B,neg,3
La camera è in ottime condizioni,Housekeeping,pos,218
buffet abbondante durante il soggiorno nel complesso,F&B,pos,155
Il buffet è soddisfacente,F&B,pos,60
Durante il soggiorno il cibo è varia e gustosa,F&B,pos,110
direi che camera sporca tutto sommato,Housekeeping,neg,68
pulizia eccellente durante il soggiorno,Housekeeping,pos,178
L'offerta gastronomica è varia e gustosa,F&B,pos,29
nel complesso personle disponibile tutto sommato,Reception,pos,187
"Hotel con ZERO insonorizzazione, molto rumoroso. La camera era pulita e internet era veloce ma il rumore era estremamente fastidioso.",Housekeeping,neg,21
L'offerta gastronomica è fredda,F&B,neg,26
La colazione è di bassa qualità,F&B,neg,7
"Hotel grande con tutti i dettagli ma personale incredibilmente disponibile. Ottima colazione a buffet. Abbiamo trascorso una notte qui prima di imbarcarci sul traghetto per la Grecia, servizi eccellenti e un'ottima notte di sonno nonostante l'ondata di caldo. A pochi passi sia dalla stazione che dal porto.",Reception,pos,3
Durante il soggiorno la camera è stata molto pulita,Housekeeping,pos,108
Il servizio di reception è lento,Reception,neg,37
La camera si presenta poco curata,Housekeeping,neg,157
Camera grande ma bagno piccolo e rumoroso.,Housekeeping,neg,39
Abbiamo trovato la camera perfettamente ordinata,Housekeeping,pos,118
Il servizio di ristorazione è scarsa,F&B,neg,114
Il buffet è di bassa qualità,F&B,neg,175
"cibo freddo, ma migliorabile direi",F&B,neg,123
La colazione è di qualità,F&B,pos,181
Abbiamo trovato la camera igienizzata correttamente,Housekeeping,pos,144
"colazione scarsa, ma migliorabile",F&B,neg,119
"pulizia eccellente, ma migliorabile direi",Housekeeping,pos,140
La camera è non pulita,Housekeeping,neg,195
accoglienza cordiale durante il soggiorno tutto sommato,Reception,pos,154
Staff gentile tutto sommato,Reception,pos,25
"Buona posizione, si raggiunge un po' tutto a piedi.",Reception,pos,4
La reception risulta inefficiente,Reception,neg,141
piatti gustosi durante il soggiorno tutto sommato,F&B,pos,115
Il livello di pulizia è pulita e ordinata,Housekeeping,pos,67
La reception risulta ben organizzato,Reception,pos,210
Durante il soggiorno il cibo è deludente,F&B,neg,168
Personale gentile e cortese.,Reception,pos,43
nel complesso accoglienza cordiale,Reception,pos,125
colazione buona durante il soggiorno,F&B,pos,150
stanza trascurata durante il soggiorno tutto sommato,Housekeeping,neg,22
Il livello di pulizia è con scarsa igiene,Housekeeping,neg,109
Il personale è gentile,Reception,pos,248
Il servizio di ristorazione è fredda,F&B,neg,145
La camera è impeccabile,Housekeeping,pos,92
La camera risulta impeccabile,Housekeeping,pos,152
"servizio veloce, ma migliorabile nel complesso",Reception,pos,117
"Con la mia famiglia abbiamo partecipate a DJTen.Ottimo hotel,vicino al centro storico ed alla stazione dei treni.Pulito,staff gentile la colazione molto varia e gustosa(anche la pizza barese).Molto gradita la palestra al 5 piano.",F&B,pos,17
L'accoglienza è stata disorganizzato,Reception,neg,83
Durante il soggiorno la camera è stata igienizzata correttamente,Housekeeping,pos,245
L'accoglienza è stata molto disponibile,Reception,pos,165
La qualità del cibo è buona,F&B,pos,163
La camera risulta con scarsa igiene,Housekeeping,neg,199
Il livello di pulizia è piena di polvere,Housekeeping,neg,228
L'accoglienza è stata gentile,Reception,pos,74
Personale poco cordiale ma struttura pulita e vicino alla stazione.,Reception,neg,28
cibo freddo tutto sommato,F&B,neg,108
DIREI CHE COLAZIONE BUONA NEL COMPLESSO,F&B,pos,0
L'accoglienza è stata cordiale,Reception,pos,119
staff gentile nel complesso,Reception,pos,60
"accoglienza cordiale, ma migliorabile tutto sommato",Reception,pos,49
direi che personale disponibile tutto sommato,Reception,pos,5
direi che servizio veloce direi,Reception,pos,104
Cibo di qualità,F&B,pos,149
L'accoglienza è stata poco professionale,Reception,neg,225
"servizio lento, ma migliorabile direi",Reception,neg,103
Il servizio di reception è gentile,Reception,pos,234
direi che personale disponibile nel complesso,Reception,pos,132
personale disponibile direi,Reception,pos,24
La colazione è deludente,F&B,neg,36
Abbiamo trovato la camera fresca e pulita,Housekeeping,pos,196
La reception risulta lento,Reception,neg,139
nel complesso buffet abbondante tutto sommato,F&B,pos,114
Il livello di pulizia è igienizzata correttamente,Housekeeping,pos,244
nel complesso camera sporca,Housekeeping,neg,189
stanza in ordine durante il soggiorno tutto sommato,Housekeeping,pos,36
L'accoglienza è stata efficiente,Reception,pos,59
Il servizio di ristorazione è di bassa qualità,F&B,neg,111
Il servizio di ristorazione è ben preparata,F&B,pos,89
nel complesso ambiente poco pulito,Housekeeping,neg,186
L'offerta gastronomica è di bassa qualità,F&B,neg,6
camera molto pulita durante il soggiorno tutto sommato,Housekeeping,pos,110
nel complesso stanza in ordine direi,Housekeeping,pos,96
nel complesso buffet abbondante direi,F&B,pos,88
La camera risulta trascurata,Housekeeping,neg,158
Abbiamo trovato la camera non pulita,Housekeeping,neg,150
Durante il soggiorno la camera è stata impeccabile,Housekeeping,pos,177
poca scelta durante il soggiorno nel complesso,F&B,neg,143
Durante il soggiorno il personale è stato gentile,Reception,pos,184
"personale disponibile, ma migliorabile tutto sommato",Reception,pos,199
Durante il soggiorno il personale è stato efficiente,Reception,pos,10
nel complesso pulizia scarsa tutto sommato,Housekeeping,neg,130
Il buffet è non soddisfacente,F&B,neg,103
Il servizio di ristorazione è soddisfacente,F&B,pos,81
L'accoglienza è stata attento alle richieste,Reception,pos,38
nel complesso cibo di qualità nel complesso,F&B,pos,64
Il livello di pulizia è trascurata,Housekeeping,neg,167
"Ho soggiornato una notte all'hotel Adria, devo dire che è stato una piacevole sorpresa. Camera spaziosa, colazione ottima e abbondante. Pulizia buona. Posizione ottima per visitare la città soprattutto per chi si sposta in treno.",Housekeeping,pos,19
Camera molto pulita,Housekeeping,pos,46
"Ottima posizione, ottima colazione, mobili un po' datati ma bagni moderni.",Housekeeping,pos,24
La camera risulta poco curata,Housekeeping,neg,198
nel complesso personale scortese,Reception,neg,47
"attesa lunga, ma migliorabile tutto sommato",Reception,neg,166
Durante il soggiorno il cibo è apprezzabile,F&B,pos,146
direi che qualità bassa direi,F&B,neg,142
Il buffet è apprezzabile,F&B,pos,147
staff gentile,Reception,pos,197
camra molto pulita,Housekeeping,pos,37
La camera si presenta sporca,Housekeeping,neg,123
personale scortese durante il soggiorno tutto sommato,Reception,neg,118
La camera è ben mantenuta,Housekeeping,pos,96
La camera si presenta con scarsa igiene,Housekeeping,neg,143
La colazione è ottima,F&B,pos,239
direi che ambiente curato tutto sommato,Housekeeping,pos,192
Il buffet è poco varia,F&B,neg,97
Direi che pulizia eccellente tutto sommato,Housekeeping,pos,157
Il personale è ben organizzato,Reception,pos,122
La camera è con scarsa igiene,Housekeeping,neg,183
Il livello di pulizia è in ottime condizioni,Housekeeping,pos,202
La camera si presenta in ottime condizioni,Housekeeping,pos,246
direi che stanza in ordine nel complesso,Housekeeping,pos,55
stanza in ordine durante il soggiorno,Housekeeping,pos,48
direi che poca scelta tutto sommato,F&B,neg,101
Accoglienza cordiale,Reception,pos,136
NEL COMPLESSO QUALITÀ BASSA,F&B,neg,145
nel complesso personale disponibile tutto sommato,Reception,pos,34
La qualità del cibo è soddisfacente,F&B,pos,125
colazione buona direi,F&B,pos,52
L'accoglienza è stata scortese,Reception,neg,223
NEL COMPLESSO COLAZIONE BUONA TUTTO SOMMATO,F&B,pos,168
Durante il soggiorno il cibo è poco varia,F&B,neg,219
Il personale si è dimostrato lento,Reception,neg,129
servizio veloce durante il soggiorno direi,Reception,pos,170
"stanza in ordine, ma migliorabile tutto sommato",Housekeeping,pos,39
pulizia eccellente durante il soggiorno direi,Housekeeping,pos,194
piatti gustosi direi,F&B,pos,126
colazione buona durante il soggiorno tutto sommato,F&B,pos,41
piatti gustosi,F&B,pos,105
pulizia eccellente nel complesso,Housekeeping,pos,44
piatti gustosi durante il soggiorno nel complesso,F&B,pos,146
buffet abbondante direi,F&B,pos,90
La camera è igienizzata correttamente,Housekeeping,pos,112
La reception risulta gentile,Reception,pos,179
personale scortese durante il soggiorno direi,Reception,neg,57
"staff gentile, ma migliorabile tutto sommato",Reception,pos,182
B&B con gestione assente e servizi limitati.,Reception,neg,37
Buona posizione ma colazione e pulizia migliorabili.,F&B,neg,31
ambiente curato,Housekeeping,pos,172
Il personale si è dimostrato molto disponibile,Reception,pos,233
cibo di qualità durante il soggiorno tutto sommato,F&B,pos,61
La camera risulta ben curata,Housekeeping,pos,164
Durante il soggiorno il cibo è fredda,F&B,neg,136
La camera si presenta ben mantenuta,Housekeeping,pos,197
ambiente curato durante il soggiorno,Housekeeping,pos,8
Il buffet è buona,F&B,pos,232
Durante il soggiorno il cibo è soddisfacente,F&B,pos,115
Abbiamo trovato la camera pulita e ordinata,Housekeeping,pos,120
"accoglienza cordiale, ma migliorabile direi",Reception,pos,99
La camera risulta pulita e ordinata,Housekeeping,pos,224
direi che camera molto pulita direi,Housekeeping,pos,152
Stanza in ordine tutto sommato,Housekeeping,pos,147
La qualità del cibo è di qualità,F&B,pos,127
direi che cibo freddo,F&B,neg,35
"Ambiente curato, ma migliorabile direi",Housekeeping,pos,161
Durante il soggiorno la camera è stata maleodorante,Housekeeping,neg,107
direi che attesa lunga tutto sommato,Reception,neg,120
direi che camera molto pulita nel complesso,Housekeeping,pos,75
La colazione è scarsa,F&B,neg,133
Hotel molto comodo al centro. Stanze pulite e spaziose... Noi ci siamo trovati molto bene. Il ragazzo alla reception molto gentile. Consigliatissimo,Reception,pos,2
L'accoglienza è stata professionale,Reception,pos,44
Hotel pulito e in posizione strategica.,Housekeeping,pos,10
Il livello di pulizia è perfettamente ordinata,Housekeeping,pos,65
piatti gustosi nel complesso,F&B,pos,33
Il personale si è dimostrato scortese,Reception,neg,85
La colazione è fredda,F&B,neg,242
Il servizio di reception è poco professionale,Reception,neg,186
"poca scelta, ma migliorabile nel complesso",F&B,neg,133
La reception risulta efficiente,Reception,pos,159
La camera si presenta trascurata,Housekeeping,neg,12
Il servizio di reception è inefficiente,Reception,neg,35
Il servizio di reception è molto disponibile,Reception,pos,28
La camera si presenta pulita e ordinata,Housekeeping,pos,170
Il personale è efficiente,Reception,pos,142
"camera sporca, ma migliorabile",Housekeeping,neg,148
"attesa lunga, ma migliorabile",Reception,neg,92
Il buffet è deludente,F&B,neg,221
Il personale si è dimostrato efficiente,Reception,pos,95
La qualità del cibo è di bassa qualità,F&B,neg,51
Abbiamo trovato la camera impeccabile,Housekeeping,pos,240
Camera confortevole e accogliente.,Housekeeping,pos,34
ambiente poco pulito durante il soggiorno tutto sommato,Housekeeping,neg,128
Il personale si è dimostrato poco disponibile,Reception,neg,178
Il personale è attento alle richieste,Reception,pos,41
Camere pulite e personale cortese.,Housekeeping,pos,48
camera molto pulita durante il soggiorno,Housekeeping,pos,171
La qualità del cibo è varia e gustosa,F&B,pos,206
direi che ambiente curato,Housekeeping,pos,32
Pulizia scarsa durante il soggiorno,Housekeeping,neg,4
direi che pulizia scarsa direi,Housekeeping,neg,162
La colazione è apprezzabile,F&B,pos,4
nel complesso pulizia eccellente direi,Housekeeping,pos,6
"cibo di qualità, ma migliorabile tutto sommato",F&B,pos,198
La camera risulta in ottime condizioni,Housekeeping,pos,100
Il livello di pulizia è ben mantenuta,Housekeeping,pos,226
Direi che cibo di qualità direi,F&B,pos,179
Il buffet è fredda,F&B,neg,213
La reception risulta molto disponibile,Reception,pos,171
Il personale si è dimostrato disorganizzato,Reception,neg,98
"qualità bassa, ma migliorabile tutto sommato",F&B,neg,42
La camera è perfettamente ordinata,Housekeeping,pos,215
Durante il soggiorno il personale è stato professionale,Reception,pos,61
Il livello di pulizia è sporca,Housekeeping,neg,47
Il livello di pulizia è non pulita,Housekeeping,neg,32
direi che camera sporca direi,Housekeeping,neg,17
"servizio veloce, ma migliorabile direi",Reception,pos,77
La camera è molto pulita,Housekeeping,pos,200
"pulizia scarsa, ma migliorabile nel complesso",Housekeeping,neg,196
Durante il soggiorno il cibo è di qualità,F&B,pos,27
"colazione scarsa, ma migliorabile tutto sommato",F&B,neg,174
Abbiamo trovato la camera con scarsa igiene,Housekeeping,neg,230
NEL COMPLESSO QUALITÀ BASSA DIREI,F&B,neg,10
nel complesso personale scortese tutto sommato,Reception,neg,38
Durante il soggiorno il cibo è scarsa,F&B,neg,162
servizio veloce direi,Reception,pos,175
Durante il soggiorno la camera è stata in ottime condizioni,Housekeeping,pos,138
Durante il soggiorno la camera è stata pulita e ordinata,Housekeeping,pos,62
La camera risulta sporca,Housekeeping,neg,135
La camera risulta ben mantenuta,Housekeeping,pos,128
"Hotel nella norma, stanza piccolissima. Servizio ristorante pessimo.",F&B,neg,26
La qualità del cibo è scarsa,F&B,neg,8
qualità bassa tutto sommato,F&B,neg,76
"Ci vado spesso per lavoro non per mia scelta . Hotel abbastanza pulito ma il portiere di notte deve cambiare mestiere, gli dico di mettere la sveglia al mattino e non ti chiama. Letti fanno piangere al mattino ti svegli tutto storto meglio che dormivi sulla sedia. Stanze senza finestra bagno senza finestra. Cmq è un pessimo hotel. Peccato che ci devo sempre venire non per mia scelta",Housekeeping,neg,13
La camera è trascurata,Housekeeping,neg,64
camera sporca tutto sommato,Housekeeping,neg,50
La colazione è non soddisfacente,F&B,neg,14
La qualità del cibo è ben preparata,F&B,pos,156
La camera è poco curata,Housekeeping,neg,40
nel complesso cibo di qualità tutto sommato,F&B,pos,129
"Gli do 3 stelle solo per la vicinanza a tutto. Camere pulite, letto duro e rumore dei treni durante la notte che impediscono di dormire. Ciliegina sulla torta, la colazione, RIDICOLA!!!!",Housekeeping,neg,18
servizio veloce durante il soggiorno nel complesso,Reception,pos,153
Durante il soggiorno il cibo è buona,F&B,pos,216
"stanza in ordine, ma migliorabile direi",Housekeeping,pos,29
"COLAZIONE SCARSA, MA MIGLIORABILE DIREI",F&B,neg,184
nel complesso accoglienza cordiale tutto sommato,Reception,pos,180
personale scortese durante il soggiorno,Reception,neg,87
Il personale è scortese,Reception,neg,236
Durante il soggiorno la camera è stata poco curata,Housekeeping,neg,207
La camera risulta fresca e pulita,Housekeeping,pos,212
"stanza trascurata, ma migliorabile tutto sommato",Housekeeping,neg,45
Terribile. Sono stato derubato di tutti i miei effetti personali e valigie mentre andavo in questo hotel e quando ho chiamato per dire loro che non potevo rimanere perché non avevo effetti personali e non avrebbero cancellato la mia prenotazione e comunque mi hanno addebitato - servizio clienti TERRIBILE.,Reception,neg,7
direi che stanza in ordine direi,Housekeeping,pos,1
"Ottima colazione, pulito e ordinato.",F&B,pos,38
B&B con disagi e costi extra.,Reception,neg,36
Nel complesso servizio veloce nel complesso,Reception,pos,53
servizio lento tutto sommato,Reception,neg,100
camera sporca,Housekeeping,neg,19
Durante il soggiorno il personale è stato poco professionale,Reception,neg,201
Abbiamo trovato la camera trascurata,Housekeeping,neg,161
La camera è ben curata,Housekeeping,pos,43
La qualità del cibo è deludente,F&B,neg,217
piatti gustosi tutto sommato,F&B,pos,151
Durante il soggiorno il cibo è ben preparata,F&B,pos,190
direi che pulizia eccellente nel complesso,Housekeeping,pos,59
nel complesso stanza trascurata tutto sommato,Housekeeping,neg,9
La camera si presenta perfettamente ordinata,Housekeeping,pos,105
Durante il soggiorno il personale è stato cordiale,Reception,pos,53
AMBIENTE CURATO DIREI,Housekeeping,pos,139
Abbiamo trovato la camera poco curata,Housekeeping,neg,1
personale disponibile durante il soggiorno tutto sommato,Reception,pos,191
"Tutto perfetto. Pulizia, ordine e cortesia.",Housekeeping,pos,32
Abbiamo trovato la camera sporca,Housekeeping,neg,49
"personale scortese, ma migliorabile nel complesso",Reception,neg,169
Abbiamo trovato la camera molto pulita,Housekeeping,pos,80
Il personale è poco professionale,Reception,neg,205
Il buffet è ottima,F&B,pos,34
direi che buffet abbondante,F&B,pos,13
nel complesso cibo freddo nel complesso,F&B,neg,177
direi che servizio veloce tutto sommato,Reception,pos,116
La camera risulta perfettamente ordinata,Housekeeping,pos,91
"Staff gentile, ma migliorabile nel complesso",Reception,pos,89
"Hotel molto rumoroso, clienti insoddisfatti, richieste ignorate.",Reception,neg,23
Il personale si è dimostrato cordiale,Reception,pos,52
"camera molto pulita, ma migliorabile",Housekeeping,pos,95
camera molto pulita durante il soggiorno direi,Housekeeping,pos,14
La camera si presenta molto pulita,Housekeeping,pos,241
L'accoglienza è stata inefficiente,Reception,neg,13
Servizio veloce tutto sommato,Reception,pos,65
Il servizio di ristorazione è varia e gustosa,F&B,pos,88
NEL COMPLESSO BUFFET ABBONDANTE NEL COMPLESSO,F&B,pos,137
"attesa lunga, ma migliorabile direi",Reception,neg,23
La reception risulta poco disponibile,Reception,neg,166
Direi che piatti gustosi nel complesso,F&B,pos,78
Camere pulite e posizione eccellente.,Housekeeping,pos,42
La camera risulta non pulita,Housekeeping,neg,134
nel complesso ambiente curato,Housekeeping,pos,56
"Posizione centrale, personale disponibile e cordiale, pulizia buona.",Reception,pos,30
STAFF GENTILE DIREI,Reception,pos,69
La camera è piena di polvere,Housekeeping,neg,243
L'offerta gastronomica è soddisfacente,F&B,pos,54
qualità bassa durante il soggiorno tutto sommato,F&B,neg,113
Il servizio di reception è disorganizzato,Reception,neg,50
Sono ritornato in questo albergo a distanza di anni e ho apprezzato la ristrutturazione che lo ha reso ancora più confortevole. Posizione centralissima e personale efficiente e molto cortese. Tariffe un po' troppo elevate.,Reception,pos,6
Durante il soggiorno la camera è stata fresca e pulita,Housekeeping,pos,174
"piatti gustosi, ma migliorabile nel complesso",F&B,pos,195
Il personale è inefficiente,Reception,neg,189
Struttura bellissima e personale fantastico.,Reception,pos,46
Il livello di pulizia è maleodorante,Housekeeping,neg,187
La camera si presenta igienizzata correttamente,Housekeeping,pos,169
La reception risulta professionale,Reception,pos,58
La colazione è buona,F&B,pos,48
Stanza trascurata durante il soggiorno direi,Housekeeping,neg,94
Il servizio di ristorazione è deludente,F&B,neg,235
piatti gustosi durante il soggiorno,F&B,pos,2
La colazione è varia e gustosa,F&B,pos,21
direi che stanza trascurata tutto sommato,Housekeeping,neg,63
